chapter_id,difficulty,stem,option_a,option_b,option_c,option_d,correct_option,explanation,icai_reference
ca-final-afm/derivatives/ch09,easy,What is the primary characteristic that defines a derivative contract?,It is a loan agreement between two financial institutions,"Its value is derived from an underlying asset such as equity, commodity, or currency",It guarantees a fixed return irrespective of market conditions,It directly transfers ownership of an underlying asset immediately,B,"A derivative is a contract whose value is derived from an underlying asset — which can be equity, commodity, currency, interest rate, etc. It does not transfer ownership immediately nor guarantee fixed returns.","ICAI AFM Study Material — Chapter: Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch09,easy,"A company enters into a contract to purchase 1,000 kg of cotton at ₹150/kg three months from now, with actual delivery of cotton expected at settlement. This is best described as a derivative entered into for:",Upside betting on cotton prices,Speculative shorting of commodity prices,Cash settlement purposes,Doing a transaction on a future date with settlement by delivery,D,"When a derivative is entered into for transacting on a future date with actual delivery of the underlying asset, it is a delivery-based contract — not a cash-settled speculative bet.","ICAI AFM Study Material — Chapter: Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch09,easy,"An investor buys a derivative contract expecting the price of a stock to rise, with no intention of acquiring the stock — settlement will happen in cash. This is best classified as:",Upside betting on the price of the underlying asset,A currency swap for risk management,A delivery-based forward contract,A commodity hedge with physical settlement,A,"When an investor takes a position expecting price rise with no intent of physical delivery and settlement happens in cash, this is upside betting on the underlying asset's price — a speculative derivative use.","ICAI AFM Study Material — Chapter: Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch09,easy,Which of the following statements about settlement of derivative contracts is most accurate?,Settlement method is determined solely by the type of underlying asset,"Generally, cash settlement is the norm across derivative contracts regardless of purpose",All derivative contracts are settled by physical delivery of the underlying asset,"Cash settlement is done only in speculative contracts, never in hedging contracts",B,"Although derivative contracts can theoretically be settled by delivery or cash, in practice cash settlement is the general norm across all derivative contracts.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch09,easy,A trader has no existing position in any stock but enters a futures contract betting that Reliance's share price will fall. He plans to profit from the price decline and settle in cash. He is best classified as a:,Hedger,Arbitrageur,Market Maker,Speculator,D,"A speculator has no existing exposure/risk but enters a derivative contract to earn profit by betting on price movement. Since this trader has no underlying position and is purely betting on a price fall, he is a speculator.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch09,easy,"An exporter has a receivable of USD 1,00,000 due in 3 months and enters a currency forward contract to sell USD at today's rate. Which category of derivative market participant does this exporter represent?",Market Maker,Arbitrageur,Speculator,Hedger,D,A hedger already has an existing exposure (risk) — here the exporter is exposed to USD depreciation risk — and uses a derivative to eliminate that risk. This is the defining characteristic of a hedger.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch10,medium,"Nifty futures are trading at ₹19,800 on NSE while simultaneously quoting at ₹19,820 on BSE. A participant buys on NSE and sells on BSE simultaneously, locking in a riskless ₹20 profit per unit with no prior market exposure. This participant is best described as:",A speculator taking a bullish view,An arbitrageur exploiting market mispricing,A market maker providing liquidity,A hedger eliminating index risk,B,An arbitrageur has no existing exposure but exploits mispricing across markets to earn riskless profit. The simultaneous buy-low-sell-high across exchanges with no directional bet is the hallmark of arbitrage.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch10,easy,A futures contract on USD/INR exchange rate would be classified under which category of derivatives based on underlying asset?,Equity Derivative,Currency Derivative,Other Derivative,Commodity Derivative,B,"Derivatives are classified by underlying asset. A USD/INR futures contract has currency as the underlying asset, making it a Currency Derivative — also referred to as FOREX derivative in the AFM curriculum.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part I"
ca-final-afm/derivatives/ch10,easy,Which of the following best distinguishes a Futures contract from a Forward contract?,Futures contracts are traded on a stock exchange while forward contracts are OTC,Futures contracts do not create any obligation on either party,Futures contracts involve physical delivery while forward contracts are always cash settled,Forward contracts are traded on a stock exchange while futures are OTC,A,Forwards and futures are economically similar contracts but differ in trading venue. Forwards are Over-The-Counter (OTC) bilateral agreements while futures are standardised contracts traded on a stock exchange.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II"
ca-final-afm/derivatives/ch10,easy,"A forward contract was entered into between Company A and Company B for purchase of 500 shares at ₹300 each after 60 days. On maturity, the market price is ₹270. Company A wants to back out of the deal. Which statement is correct?",Company A can exit since the contract is loss-making for it,Only the seller (Company B) is obligated; the buyer has the option to exit,Both parties are obligated to fulfil the contract regardless of market price,Company B must release Company A since market price has fallen,C,Forwards and futures create obligation on both parties — each party must fulfil their promise in any case with no choice to exit. This distinguishes them from options where only the seller is obligated.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II"
ca-final-afm/derivatives/ch10,medium,The current spot price of a share is ₹500. A 3-month futures contract exists on this share. The interest rate is 8% p.a. (simple interest) and no dividend is expected. What is the fair futures price?,530,508,510,540,C,"Using simple interest: F = S × (1 + R×T) = 500 × (1 + 0.08 × 3/12) = 500 × 1.02 = ₹510. Since no compounding cue is given, simple interest applies by default.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Cost of Carry Model"
ca-final-afm/derivatives/ch10,medium,A question states: 'Continuously compounded interest rate is 12% p.a.' The spot price is ₹800 and the futures contract matures in 6 months. No dividends expected. Which formula and result is correct?,F = 800 × e^(0.12×0.5) = 800 × e^0.06,F = 800 × (1 + 0.12 × 0.5) = ₹848,F = 800 × (1 + 0.01)^6,F = 800 × (1 + 0.12)^0.5,A,"When the question specifically mentions 'continuously compounded' interest rate, the formula F = S × e^(RT) must be applied. Here R = 0.12, T = 6/12 = 0.5, giving F = 800 × e^0.06.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Cost of Carry Model"
ca-final-afm/derivatives/ch10,medium,The spot price of a share is ₹600. A 3-month futures contract is to be priced. The interest rate is 10% p.a. and the dividend yield on the share is 4% p.a. (continuously compounded). What is the correct formula to apply?,F = 600 × e^(0.10 × 0.25),F = (600 - PV of Dividend) × e^(0.10 × 0.25),F = 600 × e^((0.10 - 0.04) × 0.25),F = 600 × (1 + 0.10 - 0.04) × 0.25,C,"When dividend yield rate (Y) is given instead of a fixed dividend amount, it is deducted from the interest rate R in the formula. For continuous compounding: F = S × e^((R-Y)×T) = 600 × e^(0.06 × 0.25).","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Cost of Carry Model Note (ii)"
ca-final-afm/derivatives/ch10,hard,"A 3-month futures contract on A Ltd.'s share is being priced. Spot price = ₹200, Face Value = ₹10, continuously compounded interest rate = 10% p.a. A 25% dividend on face value is expected after 2 months. Given: e^0.025 = 1.0253, e^(-0.0167) = 0.98344. What is the fair futures price?",202.54,197.54,205.06,202.01,A,Dividend = ₹10 × 25% = ₹2.50. PV of dividend = 2.50 × e^(-0.0167) = 2.50 × 0.98344 = ₹2.46. Adjusted S = 200 - 2.46 = ₹197.54. F = 197.54 × e^0.025 = 197.54 × 1.0253 = ₹202.54.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Cost of Carry Model Example"
ca-final-afm/derivatives/ch10,easy,"The spot price of a commodity is ₹450 and its futures price is ₹470. What is the Basis, and what market condition does this indicate?",Basis = +20; Backwardation market,Basis = -20; Backwardation market,Basis = -20; Contango market,Basis = +20; Contango market,C,Basis = S - F = 450 - 470 = -20. A negative basis (futures price > spot price) indicates a Contango market — the normal condition where futures trade at a premium to spot.,"ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Contango & Backwardation"
ca-final-afm/derivatives/ch10,medium,"In a futures market, the spot price of a share is ₹380 and the 2-month futures contract is trading at ₹365. A student calculates Basis = S - F = +15 and concludes it is a Contango market. What is wrong with this conclusion?",Nothing is wrong — positive basis always indicates Contango,"The Basis is correctly calculated but the market condition interpretation is reversed — positive Basis indicates Backwardation, not Contango",Basis cannot be calculated when futures price is below spot price,"The Basis formula should be F - S, not S - F",B,"The formula Basis = S - F is correct. A positive Basis (S > F) means futures are trading at a discount to spot, which is Backwardation. Contango is when Basis is negative (F > S). The student correctly computed the Basis but misidentified the market condition.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Contango & Backwardation"
ca-final-afm/derivatives/ch10,medium,"The fair futures price of Infosys is ₹1,480 per share. Lot size is 300 shares. A trader buys 5 lots. The actual quoted trading price in the market is not separately given. What is the total contract value?",740000,1480000,444000,2220000,D,"When actual quoted trading price is not given, assume it equals the theoretical (fair) price. Price of 1 lot = ₹1,480 × 300 = ₹4,44,000. Contract value = ₹4,44,000 × 5 lots = ₹22,20,000.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Price of 1 Future Contract"
ca-final-afm/derivatives/ch10,hard,"A trader buys 4 lots of Nifty futures at ₹19,500 (lot size: 50 units). After 1 month the futures price rises to ₹19,800 and the trader squares off. What is the profit/loss on this position?","Loss of ₹60,000","Profit of ₹60,000","Profit of ₹6,000","Profit of ₹15,000",B,"Profit per unit = 19,800 - 19,500 = ₹300. Total units = 4 lots × 50 = 200 units. Total profit = 300 × 200 = ₹60,000. Since the trader bought (long position) and price rose, it is a profit.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Profit/Loss (Pay-off) on Future Contracts"
ca-final-afm/derivatives/ch10,medium,"Mr. A sold 3 lots of Nifty futures at ₹18,500 (lot size: 50 units). On maturity, Nifty futures settle at ₹18,200. What is his pay-off?","Loss of ₹45,000","Gain of ₹45,000","Gain of ₹90,000","Loss of ₹90,000",B,"Short position gains when price falls. Gain = 3 × 50 × (18,500 - 18,200) = 150 × 300 = ₹45,000. A seller of futures benefits from a price decline — this is downside betting.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Pay-off on Futures"
ca-final-afm/derivatives/ch10,medium,"On 1st January, Nifty futures trade at ₹20,000 (lot size: 50 units). Mr. A takes a long position on 2 lots. After 3 months, Nifty futures rise by 5%. What is Mr. A's gain?",100000,20000,200000,50000,A,"Contract Value = 20,000 × 50 × 2 = ₹20,00,000. Gain = ₹20,00,000 × 5% = ₹1,00,000. Long position profits when price rises — alternatively: 2 × 50 × (21,000 - 20,000) = ₹1,00,000.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Pay-off on Futures Example"
ca-final-afm/derivatives/ch10,hard,"Mr. A is long on 2 lots of Nifty futures at ₹20,000 (lot size: 50). Nifty futures fall by 2% at maturity. Mr. B is short on the same 2 lots at the same price. Which of the following correctly describes the combined outcome?",Both break even since the contract is zero-sum,"Mr. A loses ₹40,000; Mr. B gains ₹40,000","Both Mr. A and Mr. B make a loss of ₹40,000 each","Mr. A gains ₹40,000; Mr. B loses ₹40,000",B,"Futures are a zero-sum game — one party's gain equals the other's loss. Contract Value = ₹20,00,000. 2% fall = ₹40,000 loss for the long (Mr. A) and ₹40,000 gain for the short (Mr. B). Long loses when price falls; short gains when price falls.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Pay-off on Futures"
ca-final-afm/derivatives/ch10,hard,"A trader holds a short position on 4 lots of a stock futures contract at ₹500 per share (lot size: 100). On maturity, the settlement price is ₹530. The trader argues that since he sold at ₹500 and bought back at ₹530, his loss should be ₹30 per share on only 1 lot. Identify the error in his reasoning.",Short positions always gain regardless of price movement,"The loss of ₹30 per share applies to all 4 lots, giving total loss = 4 × 100 × ₹30 = ₹12,000",There is no error — loss is ₹30 per share on 1 lot only,"The settlement price should be compared to fair value, not contracted price",B,"Pay-off is calculated on total exposure = No. of lots × Lot size × Price difference. Loss = 4 × 100 × (530 - 500) = ₹12,000. The trader incorrectly limited the calculation to 1 lot.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Pay-off on Futures"
ca-final-afm/derivatives/ch10,medium,Which of the following correctly describes the purpose of Initial Margin in futures contracts?,It is a penalty charged by the exchange for daily price fluctuations,It is the profit earned by the exchange on each futures contract,"It is an upfront deposit with the stock exchange to enter into a futures contract, acting as a performance guarantee",It is the amount received back by an investor when the futures price rises,C,"Initial Margin is the amount deposited in the Margin A/c with the Stock Exchange before entering a futures contract. It is a security deposit ensuring both parties fulfill their obligation — not a fee, penalty, or profit.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Types of Margin"
ca-final-afm/derivatives/ch10,medium,"The Mark to Market (MTM) Margin on 3rd January in the NIFTY example (long 2 lots, lot size 50, price moves from ₹20,050 to ₹19,850) is:","Loss of ₹20,000","Gain of ₹20,000","Loss of ₹5,000","Gain of ₹5,000",A,"MTM Margin = No. of lots × Lot size × (Today's closing price - Previous day's closing price) = 2 × 50 × (19,850 - 20,050) = 100 × (-200) = -₹20,000 (loss). The MTM loss is debited from the investor's margin account daily.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Mark to Market Margin Example"
ca-final-afm/derivatives/ch10,medium,"In the NIFTY margin example, after 3rd January the balance in Mr. A's margin account falls to ₹85,000 against a Maintenance Margin of ₹90,000. What happens next?","Mr. A receives ₹5,000 back from the exchange","Mr. A only needs to top up to the Maintenance Margin level of ₹90,000",The exchange closes out Mr. A's position immediately,"The exchange calls money from Mr. A to restore the balance to the Initial Margin of ₹1,00,000",D,"When the margin balance falls below Maintenance Margin, the exchange issues a Margin Call. The investor must restore the balance to the Initial Margin level (₹1,00,000), not just the Maintenance Margin level. Call Money = ₹1,00,000 - ₹85,000 = ₹15,000.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Maintenance Margin"
ca-final-afm/derivatives/ch10,hard,"Mr. A is long on 2 lots of NIFTY futures at ₹20,000 (lot size: 50). Initial Margin = 5% of contract value. Maintenance Margin = 90% of Initial Margin. Daily prices: Day 1: ₹20,050, Day 2: ₹19,850, Day 3: ₹20,200. What is Mr. A's total net gain at the end of Day 3 and what is the total Call Money paid?","Net gain ₹20,000; Call Money ₹0","Net gain ₹20,000; Call Money ₹15,000","Net gain ₹10,000; Call Money ₹15,000","Net gain ₹35,000; Call Money ₹15,000",B,"Contract Value = (20,000 × 50) × 2 = ₹20,00,000. Initial Margin = ₹1,00,000. MTM Day 1: +₹5,000; Day 2: -₹20,000 (balance ₹85,000 < ₹90,000 → Call Money ₹15,000); Day 3: +₹35,000. Final balance = ₹1,35,000. Net Gain = ₹1,35,000 - (₹1,00,000 + ₹15,000) = ₹20,000. Alternatively: 2 × 50 × (20,200 - 20,000) = ₹20,000.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Margin Example"
ca-final-afm/derivatives/ch10,hard,"A student claims: 'The total gain on a futures position can be calculated as the sum of all daily MTM margins over the contract period.' Is this correct, and why?","Correct — total gain equals the sum of all daily MTM margins, which is equivalent to final settlement price minus contracted price multiplied by total units",Incorrect — total gain must always be calculated only from the final settlement price vs. contracted price,Incorrect — MTM margins include Call Money received which distorts the total,Correct only if no Maintenance Margin calls were triggered during the contract period,A,"Total gain = Sum of all Column (3) MTM Margin entries = ₹5,000 - ₹20,000 + ₹35,000 = ₹20,000, which equals 2 × 50 × (20,200 - 20,000) = ₹20,000. Both methods always yield the same result. Call Money is the investor's own funds being topped up — not external income.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Margin Example"
ca-final-afm/derivatives/ch11,medium,"An investor holds 5,000 shares of TCS purchased at ₹3,500 each and is worried about a short-term price fall. He wants to hedge using TCS share futures. Which action should he take and why?","Buy Index futures — since TCS is part of Nifty, index futures are always preferred over share futures",Sell TCS futures — to create a short position that offsets losses on his existing long share position,Buy TCS futures — to create an additional long position that amplifies gains if price rises,Sell Index futures — individual share futures cannot be used for hedging a single stock,B,"When you have a long position on shares (bought shares), you hedge by creating a short position on the respective share futures (sell futures). If price falls, the loss on shares is offset by the gain on the short futures position.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Hedging Using Respective Share Futures"
ca-final-afm/derivatives/ch11,medium,"A trader has short-sold shares of Infosys. Infosys futures are available on NSE. To hedge this short position, he should:",Sell Infosys futures to create a matching short position,Do nothing — short positions on shares do not carry price risk,Sell Index futures since the short position is on a large-cap stock,Buy Infosys futures to create a long position that offsets the short share position,D,"A short position on shares loses money if price rises. To hedge, create a long position on share futures (buy futures) — this gains when price rises, offsetting the loss on the short share position. The hedge direction is always opposite to the existing exposure.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Hedging Using Respective Share Futures"
ca-final-afm/derivatives/ch11,medium,Index futures are NOT an appropriate hedging tool in which of the following situations?,An investor holds a diversified portfolio of large-cap shares,An investor holds shares of a mid-cap company for which no individual stock futures are available,A fund manager wants to reduce the beta of a large equity portfolio from 1.4 to 0.8,An investor wants to hedge a single concentrated position in Reliance Industries where Reliance futures are actively traded,D,"Index futures are used for hedging portfolios of shares or individual stocks where respective share futures are unavailable. When share futures of the specific company are actively traded (as with Reliance), the respective share futures should be used directly — they provide a more precise hedge with no basis risk from the index.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Hedging Using Index Futures"
ca-final-afm/derivatives/ch11,medium,"A shares portfolio worth ₹25,00,000 has a beta of 1.2. The investor wants to reduce beta to 0.8. Nifty futures trade at ₹20,000 (lot size: 10). How many Nifty futures contracts should be sold?",15 contracts,3 contracts,5 contracts,10 contracts,C,"No. of contracts = Portfolio Value × (Existing Beta - Required Beta) / Price of 1 futures contract = 25,00,000 × (1.2 - 0.8) / (20,000 × 10) = 10,00,000 / 2,00,000 = 5 contracts.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Hedging Using Index Futures Example"
ca-final-afm/derivatives/ch11,medium,"In the index futures hedging formula, if the required beta of the portfolio is not stated in the question, which value should be assumed and what does it imply?","Assume beta = existing beta, implying no change in hedge ratio is needed","Assume beta = 1.0, implying the investor wants to match the market return exactly","Assume beta = 0.5, implying the investor wants to reduce risk by half","Assume beta = 0, implying the investor wants to completely eliminate all market risk",D,"As per the note in the hedging formula, if Required Beta of Portfolio is not given, assume it as Zero (0). This implies the investor wants to fully neutralise market risk — a perfect hedge. The formula simplifies to: No. of contracts = Portfolio Value × Existing Beta / Price of 1 futures contract.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Hedging Using Index Futures, Note (i)"
ca-final-afm/derivatives/ch11,hard,"Mr. A holds a shares portfolio worth ₹25,00,000 with beta 1.2. He sells 5 Nifty futures contracts at ₹20,000 (lot size: 10) to reduce beta to 0.8. After 3 months, Nifty rises by 2%. What is the overall gain/loss on maturity due to hedging?","Overall gain of ₹40,000","Overall gain of ₹20,000","Overall loss of ₹20,000","Overall gain of ₹60,000",A,"Loss on Nifty futures (short, market rose): (20,000 × 10) × 5 × 2% = ₹20,000 loss. Gain on shares portfolio: 25,00,000 × (1.2 × 2%) = 25,00,000 × 2.4% = ₹60,000 gain. Overall gain = ₹60,000 - ₹20,000 = ₹40,000.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Hedging Using Index Futures Example"
ca-final-afm/derivatives/ch11,hard,"Following the hedge in the previous question — after maturity, what is the realised beta of Mr. A's total portfolio?",0.6,1.2,1,0.8,D,"% Change in total portfolio = Overall gain / Portfolio value × 100 = 40,000 / 25,00,000 × 100 = 1.6%. Beta of total portfolio = % Change in portfolio / % Rise in index = 1.6% / 2% = 0.8. This confirms the hedge successfully reduced beta from 1.2 to the target of 0.8.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Hedging Using Index Futures, Step 4"
ca-final-afm/derivatives/ch11,hard,"A portfolio worth ₹40,00,000 has a beta of 0.9. The investor wants to increase exposure by raising beta to 1.4. Nifty futures trade at ₹18,000 (lot size: 50). The number of contracts calculated is 2.47. What should be done?",Round down to 2 contracts and sell index futures,Round up to 3 contracts and buy index futures,Round down to 2 contracts and buy index futures,Round up to 3 contracts and sell index futures,B,"To increase beta of a long portfolio, you buy index futures (not sell). Decimal contracts are always rounded up to the upper whole number per the AFM rule. So 2.47 → 3 contracts, and since the investor wants to increase beta, the position is long (buy) on index futures.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Hedging Using Index Futures, Note (ii)"
ca-final-afm/derivatives/ch11,medium,The fair (theoretical) price of a 3-month futures contract on a stock is ₹510. The actual quoted price of the futures in the market is ₹525. What should an arbitrageur do?,Do Reverse Cash & Carry Arbitrage — short the stock and buy the undervalued futures,Do nothing — a difference of ₹15 is within normal market fluctuation,Do Cash & Carry Arbitrage — buy the stock in spot market and sell (short) the overvalued futures,Buy futures at ₹525 since the market expects the stock to rise,C,"When actual quoted price > theoretical (fair) price, futures are overvalued. The arbitrageur exploits this by buying the underlying asset in the spot market and selling the overpriced futures — Cash & Carry Arbitrage. Gain = ₹525 - ₹510 = ₹15 per unit (riskless).","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Arbitrage Using Futures"
ca-final-afm/derivatives/ch11,medium,The spot price of a share is ₹480. The 2-month theoretical futures price (simple interest at 9% p.a.) is ₹487.20. The actual quoted futures price is ₹483. Which statement correctly identifies the arbitrage opportunity?,"Futures are undervalued; do Reverse Cash & Carry — short the stock, buy futures, gain ₹4.20 per share",No arbitrage exists since the actual price is close to the spot price,"Futures are overvalued; do Cash & Carry — buy spot, sell futures, gain ₹4.20 per share","Futures are undervalued; do Cash & Carry — buy spot, sell futures, gain ₹3.00 per share",A,"Theoretical price = 480 × (1 + 0.09 × 2/12) = ₹487.20. Actual quoted price = ₹483 < ₹487.20 → futures are undervalued. Arbitrage: short the stock (sell in spot), buy cheap futures. Gain = ₹487.20 - ₹483 = ₹4.20 per share. This is Reverse Cash & Carry Arbitrage.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Arbitrage Using Futures"
ca-final-afm/derivatives/ch11,hard,"A student says: 'If futures are undervalued, the arbitrageur should sell futures because futures prices will eventually rise to fair value, giving a profit on the short.' What is fundamentally wrong with this reasoning?",Nothing — short selling undervalued futures is a valid arbitrage strategy,"Futures prices never converge to fair value, so arbitrage based on mispricing is impossible","The student has confused the direction — when futures are undervalued, the arbitrageur buys futures (long), not sells, and simultaneously short-sells the stock in spot market",The student is correct in selling futures but wrong about the spot market action — no spot transaction is needed,C,"When futures are undervalued (actual price < fair price), the correct arbitrage is Reverse Cash & Carry: buy the cheap futures AND short-sell the stock in spot market simultaneously. The student has the futures direction backwards. Arbitrage requires simultaneous offsetting positions in both spot and futures markets to be riskless.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part II, Arbitrage Using Futures"
ca-final-afm/derivatives/ch12,easy,"Mr. A buys a Call Option on Infosys shares with a strike price of ₹1,500 paying a premium of ₹50. Which of the following correctly describes Mr. A's position?","Mr. A has the right to sell Infosys shares at ₹1,500 on maturity","Mr. A is obligated to sell Infosys shares at ₹1,500 if the option seller demands","Mr. A is obligated to buy Infosys shares at ₹1,500 on maturity regardless of market price","Mr. A has the right to buy Infosys shares at ₹1,500 on maturity but is not obligated to do so",D,"A Call Option buyer (holder) has the RIGHT to buy the underlying share at the strike price on the specified future date — not an obligation. If the market price is unfavourable, Mr. A can simply choose not to exercise.","ICAI AFM Study Material — Derivatives Analysis & Valuation, Part III, Meaning of Options"
