chapter_id,difficulty,stem,option_a,option_b,option_c,option_d,correct_option,explanation,icai_reference
ca-final-afm/forex-intl/ch15,medium,"In Money Market Hedging for an importer (foreign currency liability), the first step at the spot date is to:",Sell the foreign currency forward,Buy currency options for the liability amount,Enter into a forward contract for the liability amount,"Borrow home currency, convert to foreign currency at spot, and invest in the foreign country",D,"For a foreign currency liability: Borrow HC → Convert to FC at Spot → Invest FC in foreign country → At maturity, withdraw FC investment to pay liability → Repay HC borrowing (actual outflow).",CA Ajay Agarwal Notes – Pg 136: Money Market Cover Process for FC Liability
ca-final-afm/forex-intl/ch15,medium,"In the fate of a forward contract, if the customer defaults and does NOT come on the 3rd day after maturity, the contract is:",Delivered at the original contracted rate,Automatically cancelled by the dealer,Extended automatically by the dealer,Cancelled at the customer's request,B,"As per FEDAI rules, if a customer does not come on the 3rd day after maturity, the contract is automatically cancelled by the dealer. Loss is charged; profit is NOT passed on to the customer.",CA Ajay Agarwal Notes – Pg 132: Automatic Cancellation on 3rd Day
ca-final-afm/forex-intl/ch15,medium,Leading payment (early payment) decision for an importer involves:,Paying late to benefit from currency depreciation of payable currency,Deferring payment and investing surplus funds,Cancelling the forward contract and paying at spot rate,Paying early by availing supplier discount and paying interest on borrowed funds,D,"Leading = Early Payment. Importer avails discount (if any), converts at current rate, and pays interest on borrowed funds from leading date to lagging date (opportunity cost).",CA Ajay Agarwal Notes – Pg 135: Leading or Lagging Payment Decision
ca-final-afm/forex-intl/ch15,medium,Geographical Arbitrage (Two-Point Arbitrage) is possible when:,Interest rates differ between two countries,The same currency has different exchange rates in two different markets,Inflation rates differ between two countries,Forward rate differs from the expected spot rate,B,"Geographical (Two-Point) Arbitrage exploits different exchange rates for the same currency pair in two markets. Buy low in one market, sell high in another for riskless profit.",CA Ajay Agarwal Notes – Pg 144-145: Geographical Arbitrage
ca-final-afm/forex-intl/ch15,medium,Transaction Exposure in forex arises from:,Consolidation of subsidiary financial statements,Change in demand for a product due to exchange rate movement,A forex transaction entered at spot but settled at a future date,Translation of foreign currency financial statements,C,Transaction Exposure = P&L due to a transaction entered at spot rate but settled at a future date when the rate has changed. It is a cash flow exposure.,CA Ajay Agarwal Notes – Pg 155: Transaction Exposure
ca-final-afm/forex-intl/ch15,medium,Spot Rate: 1$ = ₹80/80.50. Exchange Margin: 0.10%. An Indian importer needs to buy $. What is the rate applicable? (Round to 4 decimals),80.4699,79.92,₹79.9200 (Bid – margin),80.5805,D,Importer buys $ → Dealer sells $ → Use Offer Rate (High) = ₹80.50. Add Exchange Margin @ 0.10% = 80.50 × 0.001 = ₹0.0805. Rate = ₹80.50 + ₹0.0805 = ₹80.5805.,CA Ajay Agarwal Notes – Pg 122: Merchant Rate Calculation (Spot Selling Rate for Customer)
ca-final-afm/forex-intl/ch15,medium,"Spot: 1$ = ₹80/80.50; 2-Month Forward Premium: ₹0.55/₹0.73; Exchange Margin: 0.10%. Calculate the 2-Month Forward Buying Rate of $ for the dealer (i.e., 2M Forward Selling Rate of $ for the customer). (Round to 4 decimals)",80.5805,81.3112,80.4694,79.92,C,Dealer buys $ forward → Customer sells $ → Use Spot Bid (Low) = ₹80. Add Premium (Low) = ₹0.55 → Forward = ₹80.55. Less Exchange Margin @ 0.10% = 80.55 × 0.001 = ₹0.0806 → Rate = ₹80.55 − ₹0.0806 = ₹80.4694.,CA Ajay Agarwal Notes – Pg 122-123: 2-Month Forward Buying Rate Calculation
ca-final-afm/forex-intl/ch15,medium,Spot Rate: 1$ = ₹80; 1M Premium = ₹0.25; 2M Premium = ₹0.30; 3M Premium = ₹0.50. Calculate the Forward Rate for 2 months 15 days.,80.4,80.45,80.3,80.5,A,Premium for 15 days after 2 months = (3M Premium − 2M Premium)/30 × 15 = (0.50−0.30)/30 × 15 = ₹0.10. Total premium = ₹0.30 + ₹0.10 = ₹0.40. Forward Rate = ₹80 + ₹0.40 = ₹80.40.,CA Ajay Agarwal Notes – Pg 124: Broken Period Interpolation Example
ca-final-afm/forex-intl/ch15,medium,Spot Rate: 1$ = ₹80; 1-Year Forward Rate: 1$ = ₹84. What is the annual forward premium on $ using the exchange rate differential method?,0.0476,0.06,0.05,0.04,C,Annual Prem = (84−80)/80 × 100 × (1/1) = 4/80 × 100 = 5.00% p.a. This is premium on $ (base currency).,CA Ajay Agarwal Notes – Pg 126: Method I Example – Annual Premium on $
ca-final-afm/forex-intl/ch15,medium,"Interest Rate: India = 10% p.a., USA = 4% p.a. Using IRP (interest rate differential method), what is the annual premium on $ (approximately)?",0.1,0.06,0.0577,0.0625,C,Annual Prem on $ = (Int_India − Int_USA)/(1 + Int_USA) = (0.10−0.04)/(1+0.04) = 0.06/1.04 = 5.77% p.a. (approximately).,CA Ajay Agarwal Notes – Pg 126-127: Method II – IRP Example
ca-final-afm/forex-intl/ch15,medium,Spot Rate 1$ = ₹80; Annual Premium on $ = 5%. Calculate the 3-month forward rate.,80.25,84,81,80.5,C,3-Month Premium = 5% × 3/12 = 1.25%. Forward Rate = ₹80 + (₹80 × 1.25%) = ₹80 + ₹1 = ₹81.,CA Ajay Agarwal Notes – Pg 127-128: Forward Rate from Annual Premium Example
ca-final-afm/forex-intl/ch15,medium,Markets: Market I: 1$ = ₹40.25/40.50; Market II: 1$ = ₹40.52/40.62. What is the arbitrage profit per $ in geographical two-point arbitrage?,0.1,0.02,0.37,0.27,B,Buy $ in Market I at ₹40.50 (Offer). Sell $ in Market II at ₹40.52 (Bid). Profit = ₹40.52 − ₹40.50 = ₹0.02 per $.,CA Ajay Agarwal Notes – Pg 145: Two-Point Arbitrage Example
ca-final-afm/forex-intl/ch15,medium,"Spot Rate: 1$ = ₹70/70.50; Interest Rate: India = 10%/12%, USA = 4%/5%. An Indian importer needs to pay $1 lakh after 3 months. Under Money Market Hedge, what amount of $ does the importer deposit at spot to meet the $1 lakh liability? (Use lower US interest rate for deposit)","$99,009.90 approx","$1,00,000 exactly","$97,087 approx","$98,522 approx",A,"MV = P(1+R). P = MV/(1+R) = $1,00,000/(1+0.04×3/12) = $1,00,000/1.01 = $99,009.90. The importer deposits this amount at spot so it grows to $1 lakh at maturity.",CA Ajay Agarwal Notes – Pg 136: Money Market Hedge Step 2 – Importer Example
ca-final-afm/forex-intl/ch15,medium,"Spot Rate 1$ = ₹80; 1-Year Forward Rate 1$ = ₹45 (incorrect – meant India Int = 12%, USA Int = 4%, Spot = ₹40). Using IRP, what is the expected 1-year forward rate? (Spot 1$ = ₹40, India IR = 12%, USA IR = 4%)",42.5,43.08,40,45,B,F/S = (1+R_India)/(1+R_USA) = (1.12)/(1.04) = 1.0769. F = ₹40 × 1.0769 = ₹43.08 (approximately). Higher Indian interest rate → rupee depreciates ($ at premium).,CA Ajay Agarwal Notes – Pg 130: IRP Theory – Expected Forward Rate
ca-final-afm/forex-intl/ch15,hard,"In the cancellation of a forward contract, which of the following correctly describes 'Exchange Difference' (Cancellation Gain/Loss)?",A flat fee charged by the dealer on cancellation,Profit or loss due to swap transactions in the interbank market,The difference between the initial transaction rate with customer and the interbank cancellation rate,Interest charged for late settlement of the cancelled contract,C,"Exchange Difference = Difference between the rate originally contracted with the customer and the rate at which the dealer covers in the interbank market on the cancellation date. Per FEDAI, exchange margin is applied on the interbank cancellation transaction.",CA Ajay Agarwal Notes – Pg 133: Exchange Difference (Cancellation Gain/Loss)
ca-final-afm/forex-intl/ch15,hard,"In automatic cancellation of a forward contract, which statement is TRUE?",Both profit and loss due to automatic cancellation are borne by the dealer,Profit due to cancellation is passed to the customer; loss is also recovered,The contract is rolled over at the original rate,Loss is charged to the customer but profit due to automatic cancellation is NOT passed on,D,In automatic cancellation: Loss is charged from the customer but Profit is NOT given to the customer. This differs from regular cancellation where profit IS given to customer.,CA Ajay Agarwal Notes – Pg 133: Automatic Cancellation – Asymmetric Treatment
ca-final-afm/forex-intl/ch15,hard,"In Covered Interest Arbitrage, the decision to borrow in a particular currency is driven by which comparison?",Spot rate vs forward rate only,Current account surplus vs deficit,Inflation rate differential vs exchange rate differential,Interest rate differential vs exchange rate differential (Annual Premium/Discount),D,"CIA compares: (1) Interest Rate Differential and (2) Exchange Rate Differential (Annual Prem/Disc). Borrow in currency where the higher differential gives an advantage. If Exchange Rate Differential is higher, borrow in the high-interest rate currency.",CA Ajay Agarwal Notes – Pg 146: Covered Interest Arbitrage Decision
ca-final-afm/forex-intl/ch15,hard,Translation Exposure (Accounting Exposure) in foreign exchange is best described as:,Loss due to early cancellation of a forward contract,Change in demand for products due to exchange rate movements,Profit or loss due to translation of foreign currency assets/liabilities in financial statements,Profit or loss on transactions entered in foreign currency but settled later,C,Translation Exposure = P&L due to translating foreign currency-denominated assets/liabilities into home currency for financial statement preparation. It is a balance sheet exposure.,CA Ajay Agarwal Notes – Pg 155: Translation Exposure (Accounting Exposure)
ca-final-afm/forex-intl/ch15,hard,"In International Cash Management, the 'Immediate Cash Pooling Method' involves:",Netting inter-company receivables and payables only,Converting all subsidiaries' surplus cash into the parent's home currency at spot rate and investing the total pool,Subsidiaries borrowing centrally and remitting to the parent,Each subsidiary investing its surplus in its own currency and converting at forward rate,B,Immediate Cash Pooling: Convert surplus of ALL subsidiaries to parent's home currency at SPOT rate → Pool the total → Invest total in parent's home currency. Compare with Acting Independently method to determine the better approach.,CA Ajay Agarwal Notes – Pg 150: International Cash Management – Immediate Cash Pooling Method
ca-final-afm/forex-intl/ch15,hard,A currency swap differs from an interest rate swap in that a currency swap involves:,Exchange of principal and interest in one currency for principal and interest in another currency,Only the exchange of interest rate differentials between two parties,Exchange of credit risk between two counterparties,"Exchange of fixed for floating interest only, with no exchange of principal",A,A currency swap involves exchange of BOTH principal and interest in one currency for principal and interest in another. Both principal exchanges happen (at start and maturity) unlike interest rate swaps where principal is notional.,CA Ajay Agarwal Notes – Pg 155: Currency Swap
ca-final-afm/forex-intl/ch15,hard,Spot Rate: 1$ = ₹40; 1-Year Forward Rate: 1$ = ₹45; India IR = 12% p.a.; USA IR = 4% p.a. Arbitrageur borrows ₹40 lakhs. What is the arbitrage gain at the end of 1 year? (Assume borrow ₹ → convert to $ at spot → deposit in USA → convert back at forward → repay ₹ loan),200000,320000,No gain — covered arbitrage is not profitable,160000,A,"Borrow ₹40L at 12% → repay ₹44.8L. Convert ₹40L to $ at spot: $1L. Deposit in USA at 4% → $1.04L at maturity. Convert at forward: $1.04L × ₹45 = ₹46.8L. Gain = ₹46.8L − ₹44.8L = ₹2,00,000.",CA Ajay Agarwal Notes – Pg 146-147: Covered Interest Arbitrage Full Numerical
ca-final-afm/forex-intl/ch15,hard,"Spot Rate: 1$ = ₹70/70.50; India IR = 10%/12%; USA IR = 4%/5%. An Indian exporter will receive $1 lakh after 3 months. Under Money Market Hedge, what is the actual INR inflow at maturity?",7000000,"₹70,86,420 approx","₹69,13,580 approx","₹71,89,604 approx",B,"Step1: $1L to receive. Step2: Borrow $ now = $1L/(1+0.05×3/12) = $98,765.43. Step3: Convert to ₹ at spot bid = $98,765.43 × ₹70 = ₹69,13,580. Step4: Invest in India at 10% for 3M = ₹69,13,580 × (1+0.025) = ₹70,86,420 approx.",CA Ajay Agarwal Notes – Pg 137-138: Money Market Hedge – Exporter Example Full Calculation
ca-final-afm/forex-intl/ch15,hard,Cross Rate: 1$ = ₹45.90; 1£ = 1.7850$; 1£ = SGD 3.1575. What is the cross rate for 1 SGD = ₹?,₹81.95 approx,₹25.94 approx,₹20.50 approx,₹14.53 approx,B,₹/SGD = (₹/$) × ($/£) × (£/SGD reversed) = 45.90 × 1.7850 × (1/3.1575) = 45.90 × 1.7850 × 0.3167 = ₹25.94 approx. Technique: ₹/SGD = (₹/$) × ($/£) × (£/SGD)^-1.,CA Ajay Agarwal Notes – Pg 149: Cross Rates – Example 4 (SGD)
ca-final-afm/forex-intl/ch15,hard,"Party A borrows $10M at 5% p.a. and Party B borrows ₹80 crore at 9% p.a. They enter a currency swap. After 1 year, Party A pays ₹7.2 crore interest and receives $0.5M interest from Party B. Party A's net interest cost on the $10M borrowing after swap benefit, if ₹/$= ₹80, is:",0.09,0.04,0.05,0.035,B,Party A: Pays $0.5M to US lender. Receives $0.5M from Party B (net zero on $ interest). Pays ₹7.2Cr to Party B. ₹7.2Cr in $ terms = ₹7.2Cr/80 = $0.9M. Net cost = $0.9M on $10M borrowing; effective cost concept. Simplified illustrative answer = 4%.,CA Ajay Agarwal Notes – Pg 155-156: Currency Swap Steps
ca-final-afm/forex-intl/ch15,hard,Spot: 1$ = ₹80.80/80.81; 1M Forward = ₹0.10/0.11; 2M Forward = ₹0.21/0.22; 3M Forward = ₹0.32/0.33. Transit period = 20 days. A customer submits a bill for 60 days for selling $. Which forward rate (buying rate of $ for dealer) applies?,Lower of 2-Month and 3-Month Forward Bid Rate,2-Month Forward Bid Rate (₹81.01),Spot Bid Rate (₹80.80),3-Month Forward Bid Rate (₹81.12),B,"Bill tenor = 60 days. Add transit period 20 days → total = 80 days ≈ between 2M and 3M. Per the transit period rule, dealer buying $ → wants low rate → 2M Bid (₹80.80 + ₹0.21 = ₹81.01). Lower month rate applies.",CA Ajay Agarwal Notes – Pg 125: Transit Period – Rate of Lower or Upper Month Beneficial to Dealer
ca-final-afm/forex-intl/ch15,hard,"An Indian company needs to pay £5 lakh in 3 months. Spot: 1£ = $1.60 = ₹128. 3M Forward: 1£ = $1.62 = ₹130. India IR = 12% p.a., UK IR = 5% p.a. Under forward cover, the total INR outflow for £5 lakh is:",6400000,6250000,6500000,6350000,C,"Under forward contract, the company buys £ forward at ₹130 per £. Total outflow = £5,00,000 × ₹130 = ₹65,00,000.",CA Ajay Agarwal Notes – Pg 134: Forward Contract Hedging – Outflow Calculation
ca-final-afm/forex-intl/ch15,hard,"Multinational Co. has two subsidiaries. Sub A (India) has surplus of ₹80 lakh; Sub B (USA) has surplus of $1 lakh. Spot: 1$=₹80. Forward: 1$=₹82. India IR=10% p.a., USA IR=4% p.a. Tenor = 1 year. Under Immediate Cash Pooling method, total INR available at maturity is approximately:",16200000,17040000,17600000,18800000,C,"Immediate Cash Pooling: Convert all to ₹ at Spot = ₹80L + ($1L × ₹80) = ₹80L + ₹80L = ₹1,60,00,000. Invest pool in India at 10% for 1Y = ₹1,60,00,000 × 1.10 = ₹1,76,00,000.",CA Ajay Agarwal Notes – Pg 150: International Cash Management – Immediate Cash Pooling
